toxicity	message
0.110244446	*** ****** ** *** *** ******* *** ****** **** ****** ********* ** **** ** *****.  *'* ******* ** * ***** *** ** ******:********/*** ******** *** **** ** *** *** ** **** (**** ******* *** ******** **** ***** *********) **** ***** ** ****
0.13519987	""" ********* *****   ** *** **** ** ********** ** **** ************, ******  ****** ** *******  *** *** **  *** ** ********** *********, ******* ** ********* ***** **** **** ****** ** ***********'* ** ******* ** ********* ********. ** *** *** ****** ** *** ***** ****** ** ****, ****** ****** ***** ************. ** ******* *****, ******* ******** ** **** ******* *** ** *********** ********. ** ******** **** ** ** ******* ** ****** *** ***** ********, ****** **** **** ******* ** ******* ************* ******* ** (**** ********* ** **** ** *******) ** *******-**-* **** ** ***** ******* ****** ** **** ******'* *******. ***** ***. {{ #**: ** ********* *** *** ************* ******. — ****** ******** ****  | ********: ** ********* *** *** ************* ******. — ****** ******** **** }}"""
0.15183099	******'*   ***'* ****** ** *** *** *******'* *** *** *******:  ****** ***** ******* *** ***** *****  ******* ******* ******* **** *******  ***** ******* ****** *****  **** ******* **** ******  ***  **** ***** ******* **** *****
0.08066706	**'* * *****-**** ****, ***'* ** *** ******** *******, *** ** ****** ****** *** **** ** ****. * ***'* ***** **'* ********* ** ******** **** *** ******* ** ********* ****** ***.
0.07913982	**** ** ** ***** ********** ****** ** *********.
0.100202315	"""   ********   **. * ***** *** ** *** *********** *******. *'* ********* ********* * **** **** ***** ********. *** *** ****** ** ***** *** **** **** *******? ***** ******* **** * ******* **** ******* ************* **** ***** *******. ****** ** *******. ****  """
0.43420184	****: *** ***'** **** **. ***'** ********* ** ****** ******* ******* ***** ** **** **** **** *** ******** ** **** *** ****** ********. ****** ****** *** *** **** **** *** **** ** ***************. **** *** **. * **** *** **** **** **. *** **** *******, *******, ******* ******** ** ** ****** *** * *** ** ****** *** ******** *** *** *****. *** ********* ****** **** **** ****** ******* *** ****'* **** ****. **** ** * *** *******. *** ********. *** *** * ****** *** *** *** ****** ** ******. ******* *** *** ******** *** **** **** ****** **** ** *. * *** ****** *** ****** ** **** ***. ***** **** ** ** ********* ******. *** ***** **** ** ** *** ******* ** ****** *** ***. *** **** **** * **** ********* ******* ** ****** * ***** ****** ** ***** ******** **** *** ******* *** ********* ******. **** ****** *** *** *** ** * **** ********. ** *** **** **** ** *************** *** ** ** ***** ** *** ******* ** ** *** ** ******** ************ ****** ** *** ***** **** ** **** ** *** **** ********. **. **** ****** *** *** ***** ** ************ *** ********* ** ******. ********* *** *** *** *** ****** ****** ** **** *********. ****** ******* *** **** *** *******. ** *** **** ** ****** ** ** *** *** *** *** ** ** ** *** * ****** ***. ** *** ****** ** *** *** ****. ** *** **** **** ****. *** ***, *************** ****** **** *** *** ***. **** **** ******* *** ****** *** **** **** *** *** *** ***. *** *********** ******. ***** *** **** **** ******* *** **** ** ******** **** *****. ***** *** ***** ******* ** **** ***. ** ****** **** *** ****** ****** ***** ** ** **** **** ********** *** **** ******* ********. *****. *** ** **** ** *** **** ** ****** ******* *** ****** **** ***** ** *** *** *********. ** *** ***** ** **** ********* **** ***** ** **** *** *****.
0.32027474	****** ********* ******* *'** **** *** ********* ******* * ****** ** *****. * ***'* *** *** *** ****** ** * ******* ** *** ******* ** **** **** ** ************* ** ***. * ***'* *** *** *********** ** ****-********* ******. **** ** *********** ***********-*********, ** ** *******.
0.96305555	****** *****   *** ****** *****, ** *** ****** *** ****...  ** **** ** ******* *****, *** * *** **** *** ** *** ******...
0.09583535	*** *** **** *** **** ******* ** *** ******* ** ********. ** ** ******* *** ********** ******* **** *** **** ********* *** *** ******. ** ** *** ******* **** ****** ** *******, *** ******** ** ******** ********.
0.019642057	*** ******** *** **********   **** ***************, *'** ********* *** ******** *** ********** *** *** *** *** ****. ****** *** *** **** ** *************:************#****************.***********************. **** * **** ***!
0.08157648	"""   ***** , *** ******* ** *********! **** *** **** *********** ********** ** **** *** *** ********. ****** **** **** ** ******* ** ** *** **** **** **** ********. **** ** **** *** ***** *******!    ******* ******* ********* ********  *** ** **** * ****  *** **** ******* ** *********  ****** ** *****  ** **** ** *******  *** ** ***** * ***** *******  ************ ******* **** **** *** ***** **** **** *******  ******* ***** ** ****  ***** ** ****  *************  ********* ******  ***** *** ****** ******* **** ********* ***** ****** ******* ******* **** *** ************' **** ****  ***** ** *** * ********  **** ****  ********** ***** ********* ******* ***** ***********  **********  ********  **** **** *****  ******** ********** ******* ********* ***** ******* *********  **** ******  *********  ******* ****"""
0.20526773	* *** **** ******* *** ** ****** ******. **** ** * ***** ********, ****** *** *** ***** *** *** ***.
0.055452712	"""   ************   * ********** ****. **** * *** **** ****, *'** ** ******* **. )  • ******* """
0.045433674	***** *** ***** *** ** ******* ******* ******* *******, * ****** *** **** ****** *** ** ***** ** * ********** ******* ** * ********** ****** ** ********* ***********, ***** *** **** ********* ** *** **** *** ******* *** *****.  (*)
0.038420964	********* ***** ****** (*****) ****   **, ****** *** *** ***** ****** ***** *** ********* **** *** ******* *** ****. ****** ***** ********* **** *****://*******.***/**************/******/******************
0.24067232	*** ****** ****** *********** ***#********* *** *** *** ********.   (****) (******* ******* ****)
0.21579519	"""   * ****** *** ***!     **   """
0.06180588	****, ***. ***** * **** ** ********* **** * ******* ** *** *************. *** ** ******* ***** **** *** ***********, *** **** ****** *** ******** ** ******** ** ******** *** *********** **** ** *** ********.
0.48890236	**!!!!!!!!!!!!!!!!!!!!   ** **** *** ** *** ***** ** *'* *********** **** **** ****!!!!!!! ********************!!!!!!!!!!
0.14981471	******** ********** ************    ****** **** ******** ********* ** ******** **** ** **** ** *****+ **********. ***** ** *** **** ** ********** ******** **** ** **** **** *** ** * ********* ** ******, ***** *** **** ** **** ***** ******* **** ******* *********.
0.09542402	**** *********** ==  ***** * *** ** ****** * **** ******* ***** *** **** *********** *** ******. ** ***** ** ** ** **** ***** ** **** **** ***** *** ******* ** ********** ** ** ** (?) ****** *** **.   ****: ****://***.***.***.**/***/******/**********.***/***/********************************/$****/*********.***?***********    (** *****) ****:*********** **:** ** *** **** (***)  ==
0.05007423	*********** ******* ****** ******** **********
0.18037732	**** * ***** ***. *'* * ********* ** *** ****** ** **** ******** ***** **** ** ** ******** ******... ******* * ** ***** *** ******* ***** ** ** ******** ** ** **** ****.  **:**, ** *** **** (***)
0.06563499	***** **** ******  **** **** **** ** ****** **** *****-****-******, *** ********** *** *** **** ************** **** ********* ** ** ***** ** ********* *** *** ** ****-**** ****** **** ** ****** **. * ******** **** **** ***** *** ******* **** ***** **** **** ************* ******* *** ***** ******** ** ****-******* ****** ***, ***** *** ********.
0.32360554	********* **** ****.   * ******** *** ***** ******* ****'** *** ****, **** ************** *** ******* ******** ***** ****** ****.
0.15193658	""" *** ** ****** *** **** *******, *** ** ***** **** *** ***** *** *** ********* ****** ** ******* *********. *** ** ****** **** ******* *******? — ********* ******** ******* ***** ** ***.**.**.** (****)  *** ****'* **** **** ** ***** ********* ** ******. *** * ******* ** ************ *******, **** ** ** ***-*** **** **** *** *************, **'* **** ******* * ******** *** ** *** ***** **** ** **** ****** ** ******** ** * *** ***. ** *** ***, * ********* ******* ** **** *********** *** ****** **** ********** *** ** ******.[**] - ********* (****)  *** *** ********* ****** ******** ** * ***!, *** * ******* ** ****. *********, ** *** ****** *** ******, *** *** *********** **** **** ******* **** **** ****** ***** ** ********** *** *** ************** ** ******* ** *** ** ****** ****** ********** **** *** **********? * **** **** *********** **** ********* *** *********** *********** *** ** ** * *********** ************* **** *****'* ****** ** **** *** ******* ********. *********'* **** *** *** * ****** **** *** ** ****** ** *** ******* ***** *** * ****** ** *** ******* ****** ***** ****. *** ***** ** **** ***** ** ** **** ***** ** ****** ********** ***** *********** ******* *********** *** *** **** *********** ** ********* ********* ****, ******** ******, *** **** ***, ***. ********, ** *** **** * ****** **** ****** **** *****'* ****** ** , ** **** *****, """"********* ****** *** *************"""" *** **** ** *** **** ** ***********? * ***** * **** * **** **** ***** ***** **** *********** **** ******* **** **** ***** ** ********* ****** ** ** ***** ***** ******** ******** ** **** *****. **** ** *** ** ** **** ******** ** ***** * *** ******** *******, ******* *** **** ** **** *******. ***** ******* **** ******** ****. ** ***** * ********* **** ********* **** ******* * ***** ******** ** *** ******* ****** ******* ** **, ** **** ***** """"** * ****** ** *******"""" ** ** **** **** ***** ** ***? ****** ...(******* ***** ******* *** **********) *** * ********* *** ** ****** ****, *** * ****** *** **** ** ** **** ***** **** ******* **** ***. *** * ** ******* *** ******** ** ** ** ************* **** *** ******** ** *** **** *** ******* ** ***** *********** ******* ** ********* ** ******* **********'* ******** ******. *** ***** *** ***** ******** ** ***? ******** *** **** ****. *** ** ****** ***, ********, **** ** ** ******* ********* ****** ** *** **** ******* ******* ******'* **** ** '****' ** '*********.' *** ****** **** ** ******* ***** *** ******** **** **** **** ** ** ***. **** ****** ** *********** ***** *** *******. ****** ** *** **** ** * *****, *********. ** ***, ****** ** *** ****** **********. ****** *** * **** ******* ** **** *****."""
0.18569613	********* ********   **** *** ***** ******** *****. * ******* ** ******* * ******'* **** *** ******* ** ******, **********, *****, ********, *******.   *********** ********* *** ****** *******  ** ***** ** ****** ******* ** ********. **** ******** ** ********. ******* **** ****.
0.055078685	***** **, ****  ****** *** ************* **** *********. **** **** ******, *** *** **** ******** ** *******. ****** *** *** ******* *** *** ***** ***** *** **** ** **. **** * **** ** *** ******* **** ** *** ***** **** ** ***** **** ***** ************ ** *** ************. ******.
0.03892557	*****:  ******* ******** *** ** ******. *** ***** ** *** ** * **** ** ****** ***** ****** ** ** ****** *** ** ******. ** ***** ******** ** * ********** ** ***** ********.
0.4145696	**** ******* ** *** ***** ****** *** *** *****, ** *** ***** ***** ******** *** ********** ** ***** *** *********, ** *** ***** ***** ** *** *********? *** *** ********** ****** ** ***** ***** ***** **** ****** ******* ** *******, **** *****'* **** ** **** *** ******* **** ******-**********.**.**.***.**
0.1524874	"""   *** ****** **** *** ****** ** ***** ** ******* ***** ******** ** ***** *** *** ********** ********. **** ******* ** ******** ***** ***, **** ************, **** ****, **** ********, **** ************, **** *******, **** *********, *** *** ***** ******** ******** ** ********.   ******** ** ******* ***** ******** ** ******** ***********. ** *** ****** **** ** *******, ** ***** ** ****** ** ******** *** ********. ******** ** *** *******, *** **** **** ******** **** *** ****** *** ***** ******** ***** ********. **** ** ******* *********** ******** ********** *********** ********** ** **** ************ *** *************. *** ***** ** ******** **** ******* ** *********:** ******** ********, *********:******* ***** ** ****, *** *********:*************.   ** *** *** *** """"*******"""" ***** ********* **********, ******** ** ******* ***** ******** *** ******* *** ****** **** ********* ** *** * ******** ******** ******** *** ***** **** ******* *** ****** ********.  ** **** ************, ***., *** ********** *** ********* *******, *** **** ******** *** ********* ** *********, ******* **** **** ******** ****** ** ******* ***** *** ****** ** *****. (*** *********:*********** **** ********.)     """
0.059060525	**** ** ********** ** ****** ** *****, *'* ******* ** ****** *** **** *'** ***** ********* *** ******* ****** *** ********* *** **-****** ********* ** *** ********.  **** ******* *** **** ** ** * ****. **** **** ** ******* ** **** *** ********* ** ******** *** ***** **** ****** **** ******.   ******* ********* ** , ** ****** **        **** ** ********** ** ****** *** ******* ****** *** ********* ** * **** ******* *** **** ****** ** **** . *** ******* ** ***** ** ******* *** **** ******* ********, *** ***** *** **** ***** ******* ** ************** ******* ** ** *********. ** ***** *** ***** ****** * ****, *** ******* **** ****; ********* ** *** ****. *** ****:****** *** ****** ***** **** ** ** *********.  ******* ********* ** , ** ****** **
0.16062717	. *** **** **** *** *** ******* ****, *** *** **** ***'** ******* ****. **** ********* ** *** * ******** ** *** ************ **** *******. **** *** *** ******* *********
0.061243873	**********. **** *** *** *******?  ****
0.31089434	"""  ** ***** ** **** ******** - **** *** **** ** ******** - ***** ** *** * *****. ****, ************* - *******, *** ******* ** ** ******* *****, *** * ** *** ******** ** *********, **** *******, * ***, ** ** """"*****"""" ** """"*************"""" ** ******. * **** *** ** ****, *** *** ** *****, *** ** *** """"****** *******"""" ** *** *****. *** *******, *** *** *** *****. * ******, *** **** *** """"******"""" **** ******'* ****. * *****, ****, *** ******** ** ******. * ***** ******* *** **-**** ***** ***** *** **** ** **** ********* ** *****. * ***, *** ** ** ******** *** ******** *** ********** ** ** *******, *******, *** ****** *******. ******. """
0.09575566	, *** * *** *** **** ***** ** *** ** ******** **. ******'* ** ** ****** *** ********* ** ***, *********, ** ****** ** ** *** ****** **** ******* ** ******* **?
0.21393822	"""  *** ****** ** ** ***** ** **** ******** ******** ***********, **** ******* ********* ******** ********, *** ***** *** *** ****** **** *** ********** ****, ***** ** **** * **** **** ********* ******* ** """"******* *****, **** *********"""" ** *** **** **** ***** **** ** *** ********** ****** ** **** *** **** ** ******* ***** **** ******* ** *** **** * ******* ***** *****, ****** ********* **** *** * **** *** **** ** *** **** *** **** ** **** *** ******* ********, ***** *** ** ** ****** **** ******** *** **** ***********, *** **** *** ** ********* / ****** *** **** ******** **** ** **** ***** ********* ****** ***** ** ***** ******* **** ***** ****** ******, ** ***** ****** ******** ** *** ** **** ******* **** **** **** *** **** **** **** *** ******* ***** ***** **** *** ****** *** *** *** ******* *** ******** **** ***** *** ** ****** **** ********* **** **** *** *** ** *** *** ****** *** ******** ***, **** **** ** *****, **** *** * *********, *** ****** *** ** ******** *** """"****"""" *** ***** ******** **** *********** *** ** ** ****** **** ***** ** ****** *****, **** **** *** *** ***** **** ***** *****. ** ** *** **** ** ******* ******* ** ******* *** ****** **** ** **** ** ** ** ********* *******, ******* ** ** ***** ******** ***** ***** ***** *** *** **** ******* ****.  ******."""
0.31683806	******** ** ******* *** ** ****   * ***** *** ******** **** *** **** **** *** ******** *** ********* ******* ** *** ****.  ********, *** ******** *** * ********** ******* *** ********** ****** *** ******* ** ** *** **** ** ****** **** ***** ******.
0.10767337	**** ***** **** * ******** **** *** ******* ** * **** **** (**** (, ** *** ****** *** ******** **** **** **** ** ** * ******** ********. ******* ********* ** ********* ** *** ******* *** ** ******* ** *******.  ** ** ***, ***'** **** *** ** * ******* ***** ** *-*/* ****** *** *** **** **** ** ***** ** **** **** **** ** *** ** *********. ** ***** *****, *** **** **** ******* ***** *** ****** ** ********* ** *** ** ****** ******* *****  ***** ** *** *** **** ** ** ****** ******. *****, ******* ********* ** ********* ** *** ******* *** ** ******* ** *******, *** **** ******** **** ***** ** ***-*******.   ****** *** *** **** **** **********, ********** **** ******* *** **** ***********.  | ****
0.15052342	* ** ***** ** ****** ** ***** ** [[****** **] ****.
0.41033468	*** *** ** ***** ** **** ** **** ** ******* ********. ********** * **** *** ********** ******** *** ****** **** **** ******* ******* ** *** **** ****** **** ****** ** ******* ****** ** ***.
0.18229803	***** **** ***  * ******** ** ***** ***** ******* *** *** **** ** * *******.  * **** ** ** ****, ** *******.  ***** *** ****** *** ** **** ** *** **** * *******, ** ** *** **** ** **** ** ** **** ****?  * ***'* **** ** ******** **** *****, ** ****'* **** **'* *** *****.
0.06608693	********'* ********* ***
0.035720598	******* ** *********! * **** ******* ** **** ************* ** *** ****. ** * *** **** *** *** **** *** ********* ********** & ****** ***** ** ** *******:    ********  ******** *** **********.  *********:******* ***** ** ****  ****** ** *****   **** - ********* ********  **** **** - **** * ********  ***** *******!
0.03752371	******. * **** *** ******** ******!! -)
0.9852125	*******   **** ** *** *** ***** **** !!!!!!!!!
0.3407574	"""  *** ** ** **** ** ** *** *** ****** *** ***** *** ********* ** ***** **** * ******** ***. *** ***'* *** *** *** ********* *** **** *** *** ******* *** *** ** ** ******. **'* ****** **** ** **** *** """"****** ******* ***********"""". *** *** ***** ** ******** **** *** ******* ******, ** ******* ** ********* *** *** ********* ** ****, **** *** ***'* **** **** *********** ** *** ** *** ****. ** *** *** **** *** **** ******, *** ** ***** ** **** * *** *** ** *** ****** ** ****** *** ***** *****.  """
0.9706877	*** ,****** ******** !!!!!!!! *** ***;* *** ** *** ***** ***** ** ******** *** **** *** **** *** ****** ** **** ****** ********* *** !!!!!!!!! *** ******* ******* *** * ***** ** ******* **** ****** *****, ***** ** * ******** ********, ******** !!!!!!! ***** *** **** ***** **** ** ****** ** ********. ** ** ***** ** **** ******* **** *** **** ******** **. ***, *** **** ****** ****** ***** *** *** *****.
0.7093121	"""   *******   ** ***** ******** *** ** *****. **'** **** **** *** ** ***** ** ****. *** * **** **'** *** **'* ** **** ******** *** *********, *** ******** ** **** ********* ** ***** ** *** *** **** ******* **** ********* ***** """"********* ******"""" ** *** ********** ***, *** ********* ***** ** ** ********* *** ****, *** ** ******* ** * *****, *** **** **** ** * ******* *** **** *******.   """
0.10453219	""" *******!  *****, *** ******* ** *********. ***** *** *** **** *************.  *********, *** *** ******* ******* * ********. *** *** ******** ** ** **, ** *** *** *** ******** ** *** ** ** ********* ** **** *** **** ********; *******, ******* ** **** ****** ** * ******** ***** ***** ******* ** **** ** ******* (***** ** **.*.**.***). ******* ** **** *** ******* *** ******** *******, *** ***** *** **** ***** ******** *** ******* **.  **** *** **** *****:   ****** ******* ******' **********; ** *** **** *** ***** *** ******** **** ******** ********.  ****** *** * ******* ***** ** **** **** ******* ********; **** ** ******** *** **** ********* ********* ******.  ** *** *** *******, ****** *** *** ******* ** ** **.   ** *** *** ************ ******** **** *** ********, **** ** *********** ****, ************* ********, *** **** **** ** *** ******* ** ** *******'* *******. ****** **** ******* ** ******* ******** *********** ** ********** *********.  *** ********* ******** ** * **** ***** ** ***** ******** ***** *********. *** ***, ** *** *** *****, *** *** ***** *** **** **** **** *** *****, **** {{******}} ** *** **** ***, *** **** ***** **** ****; ** *********** ********** **** ** ****** ******* ** ****** *** ********* *** *** ****. **** **** **** ** *** * ******** ** . * **** ****** **** ********* ** *** ** * ***! ***** *** ***** *** ************ ** *********.  ** ***** *** **** **** **** *********, *** **** ****** **** ******* ******* **** ** *******. ****** ** ******* *** ** ****** ******* **** ********* ******* * ***** ******, ***** *** ****** ******* ** *** **** ******* ** ** *** *******'* **** ****. ***** ***.   """
0.076651335	"""  ****:********.*** ****** *** ********  * **** **** *** ******** ** *******, ****:********.***, *** **** ****** ** *********:***** *** ********. ****** *** *** ********** ** *** *** **** ** (*** *** **** ** ****** *** *** ***** ** *** ***** ** **** *** *****), ** *** *** ********** ** ** *** ***** *******. ***** ***.   *******.  """
0.043899696	******** *****.*** ********* ** * ********* ******* ** * ****, *** ****** ******* ********** ***** ** ******* *** ** ** **. ******* ******* *** ** ******* *** ******** *** ** ********* ** **** *********** **** ** * ********* *****. **** ****.. **:**, ** **** **** (***+*)
0.19744514	"""   ********* ******** ***   ******* ******* ***** (******* ****: ****://***.*******.***/*****?*=*********** ) **** * ******* **** **** ******* ** *** ********* **** ******** ********* ********* ********** ** *** ********* ** *** **** ***;  ****** ***** (*** **, *** *** ********* *********) ** **** ** ******** ***, **** ***** *** **** ******* ****/*********; **'* ********* ****** ***** *** ******, *** ***** ******/**** ****** *** ******** *** ** *** ******** *** ****** *** ******** **** *********  * ***** **** *** ******* ********'* **** **** ***** **** *************** ****, *******). ** *** ******** ** *** ******* *****, *** ***** *** *********** ** ****** *** ********* **** *** ***** (***** ****, *** **** """"**** **'* ********** **** ** *** ***, | ** **** *** ***** *** *** *******?"""" ** *********** ** * **** ** ** ******* ** *** ****** ** * **** ** ***** ******* ** *** ********** *****  ***** ****** ** ** **** ******** ** *****, ***** *** ***** *** '*********' *********).  ******* *** ******* (*** *** ***** *********) ** **** ** ******** ***. ******** ** *** ***** ** ********* ******* *** ***** ****** ****** (**?), ** ** ********** ****** **** ** ****** (*** * ****** ******* *******, ** **** **** ************ ***** ***** **'* ******), ****** ** *** ******* ** *** ***** *** * ********* ** *** ***** *** *** ******** **** * ****** ** *** ****** ******* (**** *** ******'* **********)  ******* **** ** * ******** ********* ** *** *****, *** ** *** ***** *** ****-******* ********* (******** *** ** ****-********* ****** ********, ** ******** *** ** * ********* ***** ***** ** **** ****** ** *** ***** ** * ***** *** ** *** ** **** ** *** ****** ***) *** **** ***** ** **; ** ** **** *** ***** ******* **** *** ***** ******** **** *** ******** ** *** ******** *** ** ******** *** *******.  ***** **** ***** ********* () ** **** ** ******** ***; *** ***** ********** (**** **, ** ***** ******, ********* *** ******) ***** *******, *** ** **** ***** *** ***** *** *** ******* ********** *** ***** (********* *** **** **** ** *** ***** ** * ******), **** ** **, ******* *** ***** **** (** ** ****** **** **** *** ******* ** ***** ****** (**?) ** *** ******* ********** ********* ** *** ******) *** ***** (** ******** *** ********** ***** ** ******* ******* *** *** ** ******** *******  *** ***** ** *** ***** *** *** **** ** * **** ** ******** **** *** ****, **** ** ** *** ***, *** ***** **, **** ******* ** **** * ******* ****** ********* ** **** ***** *** *** *****'* *****). ** *** *****, *** ***** *** ********** *** **** **** . . . ***** **** *** ******** *** ****** (**** ****** * ***** ****** **** *** ********* ****** **** *** ***********  * *** ** *** **** *******, **** *** ******* ** *** ***** ** ***********, **** ** ** **** ***).  ****** ********** **** ***** ** **** ** ****** ***, *** ***** **; *** ** *** *** **-*******, ** ***** ** ****** *** **** ********, ************ ** *** **** ****  ******* *** *********** ****** ***** ****** **** **'* ***** ** ****** ******, ***** ** *****, **** *** ********* (*****-****) ***** *** ********** **** (***** ***** *** ***** *******; **********, ** *** * **** ******, ** *** ***** *** ****** ** **** **** ***** *** *** ***** ** ******** *** ** *** *** ** *** ***** **** ** ***** *** ** ** *** *** ** *** ********, ***** *** ********** ***********, **** *** ***** ********* *** ** **** **** **** ****** *** **** ******** ***** *** ******** *****). *****, *** **** """"******** *** ***** ****** ***"""" ** ***** **** **** ******* **** **** ******* *****. (**********, **** *** **** """"***** *** **** ** * ******* ***"""" ***** **, ** ***** *** *******'* *** ********* **** **** ** *** ******** ****, ** * ******** *********, ***** *************.)  **** ******* *'* ***** ****. **.***.***.**  """
0.07321197	******* ***** ********** ******* ******* *** ********* ***** *** ******* ******** **** ****; **** ** ******* *** ******** *** ******** ** **** ***** ******* **** ***** ****. ** ****** **** ***** ** **** **** ********** **** ***** ******** *******,*******, ***********, *** *** *** *********** ***** **** *** ***** **** ** ****** **% ** ********, ********, ********, *** **** *********.
0.4958784	"""  *** **** ***** * ***, ****** **** ***. ****** ** ****. ******* """
0.31089434	**********, *** *** ** ** *****? **** **** *** ******** ******* ******* **** ** ** **** ********* *** *******? *******, ******* ******!
